Date,Price,Open,High,Low,Vol.,Change %
01/19/2026,328.98,333.7,337.1,326,10.05M,-0.01%
01/16/2026,329,309.5,331.8,309.2,19.79M,6.75%
01/15/2026,308.2,305.4,311,302.32,8.79M,1.63%
01/14/2026,303.25,294.58,304.8,294.58,18.16M,2.94%
01/13/2026,294.58,289.88,295.01,288.45,6.37M,1.62%
01/12/2026,289.88,290.99,293,289.3,3.82M,-1.10%
01/09/2026,293.11,296.1,296.13,290.15,5.15M,-1.01%
01/08/2026,296.11,297.26,301.9,294,11.61M,0.08%
01/07/2026,295.87,293.44,298.5,290,19.92M,0.82%
01/06/2026,293.45,295.39,295.98,290.5,6.36M,-0.69%
01/05/2026,295.48,294.6,301.99,293.75,8.89M,0.42%
01/02/2026,294.24,288.99,299.5,288.5,11.02M,2.23%
01/01/2026,287.82,282,288.85,281.2,9.99M,2.39%
12/31/2025,281.09,280.89,283.94,279,5.92M,0.14%
12/30/2025,280.71,273.98,281.8,273.5,8.99M,2.61%
12/29/2025,273.57,271.25,274.49,270.39,4.28M,1.17%
12/26/2025,270.4,267.46,271,267.25,3.33M,1.10%
12/24/2025,267.46,265,268.68,265,1.48M,0.99%
12/23/2025,264.84,267,267.5,264.5,1.17M,-0.76%
12/22/2025,266.87,268.5,269,266,1.69M,-0.42%
12/19/2025,267.99,270,271.7,267.38,1.87M,-0.48%
12/18/2025,269.29,272,272,268.75,2.91M,-0.75%
12/17/2025,271.33,275.49,275.98,270,3.61M,-1.55%
12/16/2025,275.6,279.49,280.49,274.5,3.97M,-1.10%
12/15/2025,278.67,279.89,280.8,276.82,6.87M,1.29%
12/12/2025,275.11,273.35,275.99,271.25,4.32M,0.84%
12/11/2025,272.83,277.9,279.1,272.35,8.80M,0.97%
12/10/2025,270.21,273.5,273.75,269.8,3.00M,-0.80%
12/09/2025,272.4,275.99,276.95,271.26,4.11M,-0.71%
12/08/2025,274.36,274.65,278.2,273.5,5.50M,-0.08%
12/05/2025,274.58,273.87,276,271.25,6.62M,1.44%
12/04/2025,270.67,270.9,271.99,266.4,1.96M,0.49%
12/03/2025,269.34,270.6,270.6,264.91,2.66M,0.73%
12/02/2025,267.39,272.7,273.5,266.66,4.11M,-1.36%
12/01/2025,271.07,265.3,271.9,262,7.54M,2.21%
11/28/2025,265.21,261,266,261,9.01M,1.89%
11/27/2025,260.28,254.34,261.1,253.15,5.91M,2.63%
11/26/2025,253.62,249.64,255.5,246,4.16M,1.69%
11/25/2025,249.4,251,252.2,248.05,1.55M,-0.55%
11/24/2025,250.79,253,254,249.15,2.70M,-1.28%
11/21/2025,254.04,253.11,258.3,253.11,4.40M,-0.53%
11/20/2025,255.4,253.9,256.74,253.02,4.67M,1.64%
11/19/2025,251.29,246.89,253.9,245.42,4.97M,2.39%
11/18/2025,245.42,247.79,247.79,243.9,1.74M,-0.37%
11/17/2025,246.34,248.48,250.7,245.48,2.96M,-0.44%
11/14/2025,247.42,244.15,249,243.25,3.34M,1.76%
11/13/2025,243.15,241.25,243.88,240.7,2.37M,1.25%
11/12/2025,240.15,243.02,246.47,238.2,5.76M,-1.26%
11/11/2025,243.21,252.97,252.97,242.42,5.85M,-3.74%
11/10/2025,252.65,250.19,253.99,246.45,6.79M,2.69%
11/07/2025,246.04,244.7,247.5,242,3.22M,-0.91%
11/06/2025,248.3,251.97,252,247.37,3.48M,-1.02%
11/05/2025,250.87,255.06,255.99,249.25,3.46M,-1.29%
11/04/2025,254.16,257,257.32,252.3,3.05M,-1.23%
11/03/2025,257.32,259,259.9,256.9,3.41M,0.25%
10/31/2025,256.67,255,259.6,255,2.72M,1.13%
10/30/2025,253.8,260,260,253.06,2.43M,-1.08%
10/29/2025,256.58,258.8,260.2,255,4.01M,0.27%
10/28/2025,255.89,260.76,262.65,255,1.39M,-1.87%
10/27/2025,260.76,264.1,265.1,260,3.53M,-1.33%
10/24/2025,264.27,266.8,270.39,263.7,2.78M,-0.77%
10/23/2025,266.32,265,272.55,265,3.98M,-0.22%
10/22/2025,266.92,264.51,273.31,262.61,8.80M,0.87%
10/21/2025,264.63,260,268,260,6.00M,0.28%
10/20/2025,263.9,260.01,265.2,256.95,5.68M,2.20%
10/17/2025,258.21,259.95,262.3,257.1,6.47M,-0.26%
10/16/2025,258.88,260,262.8,257.5,4.53M,-0.68%
10/15/2025,260.64,267.4,267.4,258.8,4.52M,-1.36%
10/14/2025,264.23,255.99,265.1,254.11,7.82M,4.50%
10/13/2025,252.84,261,261.9,250,7.68M,-4.22%
10/10/2025,263.97,266,267.99,262.3,3.03M,-1.33%
10/09/2025,267.53,269,272.3,266.9,3.06M,-0.75%
10/08/2025,269.56,272,273.4,269,2.53M,-0.66%
10/07/2025,271.34,275,276.25,270.9,4.31M,-1.15%
10/06/2025,274.49,277,277,270.5,3.72M,-1.23%
10/03/2025,277.92,278.5,280.79,277,3.02M,-0.18%
10/02/2025,278.41,277.49,279.99,275.55,3.12M,0.62%
10/01/2025,276.69,278,280.5,275.9,6.11M,-0.19%
09/30/2025,277.23,282.7,284.8,276.12,9.77M,-1.52%
09/29/2025,281.5,282,282,278.06,4.92M,0.35%
09/26/2025,280.53,278,282.2,277.88,7.87M,0.95%
09/25/2025,277.88,282.86,284.7,276.2,10.97M,-1.76%
09/24/2025,282.86,285.8,287.74,281.45,13.70M,0.05%
09/23/2025,282.71,282.5,288,281,16.35M,0.74%
09/22/2025,280.64,278,284.1,277.94,9.75M,1.22%
09/19/2025,277.26,273,290,272.5,21.41M,1.89%
09/18/2025,272.12,274.4,274.4,271,4.16M,0.64%
09/17/2025,270.4,273.5,274.15,270,5.14M,-0.66%
09/16/2025,272.19,269,273.11,268.5,3.91M,1.37%
09/15/2025,268.52,268.98,271.25,267.5,2.59M,0.35%
09/12/2025,267.58,270.74,271.2,267,3.16M,-1.17%
09/11/2025,270.74,274,274.8,270.3,2.30M,-0.80%
09/10/2025,272.92,272.99,275.5,271.25,3.94M,-0.08%
09/09/2025,273.15,275.5,277.39,271,4.43M,-0.67%
09/08/2025,275,274.97,276.9,273,7.21M,0.74%
09/05/2025,272.98,270.7,274.8,268.55,11.59M,0.96%
09/04/2025,270.39,272.5,273.74,269.06,6.16M,-0.99%
09/03/2025,273.1,270,275.5,268.2,8.36M,1.40%
09/02/2025,269.32,271.97,272.78,268,6.92M,-0.38%
09/01/2025,270.35,264.31,272,264.2,10.45M,2.27%
08/29/2025,264.36,261.4,271.25,260,14.51M,1.19%
08/28/2025,261.24,260.53,262,259.9,2.20M,0.35%
08/27/2025,260.33,261,261.99,259.02,2.74M,-0.03%
08/26/2025,260.42,263.94,264.7,259.5,4.34M,-0.21%
08/25/2025,260.97,262.55,264.25,260.23,2.54M,-0.82%
08/22/2025,263.13,262,268.7,261.2,12.45M,0.83%
08/21/2025,260.97,259.01,262.15,255.55,9.48M,1.05%
08/20/2025,258.27,260,261,257,5.29M,-0.55%
08/19/2025,259.71,263.97,264.38,259,7.63M,-1.46%
08/18/2025,263.57,263.01,264.9,258.66,8.84M,0.38%
08/15/2025,262.58,270,271.65,261.01,8.77M,-2.57%
08/13/2025,269.5,272,274,268.18,11.22M,-0.75%
08/12/2025,271.54,278.5,279.35,269.4,15.70M,-2.00%
08/11/2025,277.09,269.96,278.5,267.46,12.02M,2.44%
08/08/2025,270.48,267.2,276.99,267.2,19.94M,1.27%
08/07/2025,267.08,263.02,269.88,263,16.98M,1.85%
08/06/2025,262.24,259.77,263.4,257.65,8.99M,1.20%
08/05/2025,259.14,260,264.5,256,12.66M,-0.42%
08/04/2025,260.22,265,269,259.12,17.82M,1.78%
08/01/2025,255.67,233.45,256.31,231.01,37.05M,9.72%
07/31/2025,233.01,228,238,228,24.21M,3.66%
07/30/2025,224.78,223.4,226,223.4,1.48M,0.33%
07/29/2025,224.04,226.99,227.48,222.05,1.83M,-1.36%
07/28/2025,227.13,227.1,229.1,223.51,9.30M,0.54%
07/25/2025,225.91,225.33,226.98,224.23,2.02M,0.26%
07/24/2025,225.33,227,228.7,225,1.88M,-0.40%
07/23/2025,226.23,228.4,231,225.52,4.49M,-0.18%
07/22/2025,226.63,222,229,221.01,6.60M,2.46%
07/21/2025,221.18,223.28,223.99,220.99,2.49M,-0.94%
07/18/2025,223.28,226,228.1,223,2.84M,-0.84%
07/17/2025,225.18,224.8,227.98,224.1,3.41M,0.36%
07/16/2025,224.37,223.8,226,222.85,2.36M,-0.03%
07/15/2025,224.43,227.5,228,224,2.30M,-1.18%
07/14/2025,227.11,228.84,229.2,226,2.39M,-0.34%
07/11/2025,227.89,227.05,229.01,226.1,2.76M,0.56%
07/10/2025,226.62,228.02,228.09,225.8,2.90M,-0.61%
07/09/2025,228.02,228.99,230,225.06,7.17M,-0.53%
07/08/2025,229.24,229.5,231.55,227.51,4.16M,0.04%
07/07/2025,229.14,227.28,230,226.51,3.42M,0.82%
07/04/2025,227.28,229.67,230,226.52,2.46M,-0.79%
07/03/2025,229.09,224.13,230,224,9.42M,2.77%
07/02/2025,222.92,222.45,223.99,221.31,4.66M,0.61%
07/01/2025,221.57,220.3,223,218.99,4.59M,0.46%
06/30/2025,220.56,224,224,220,4.32M,-0.28%
06/27/2025,221.19,217.5,226,216.75,9.56M,1.79%
06/26/2025,217.29,218,222.49,216.11,6.97M,-0.26%
06/25/2025,217.85,218.39,219.01,216.1,6.81M,-0.07%
06/24/2025,218.01,216,220.3,211,9.16M,6.94%
06/23/2025,203.86,210,210.5,202,4.60M,-3.95%
06/20/2025,212.25,211,215,210.11,2.71M,0.75%
06/19/2025,210.68,213.55,216.01,209.85,4.40M,-0.23%
06/18/2025,211.17,214.26,214.26,210.5,3.68M,-1.44%
06/17/2025,214.26,213,215.45,212,5.63M,0.57%
06/16/2025,213.05,209.4,214.4,209.4,4.64M,2.01%
06/13/2025,208.86,211,212.2,208.23,5.20M,-1.50%
06/12/2025,212.05,217,218.99,211.26,8.62M,-1.51%
06/11/2025,215.31,212.65,216.45,212.1,8.78M,2.37%
06/10/2025,210.32,210,211.39,209,1.19M,0.18%
06/05/2025,209.95,211.89,212.5,209.5,2.23M,-0.92%
06/04/2025,211.89,209.15,213.13,208.95,4.38M,1.31%
06/03/2025,209.15,208,210,207.25,1.91M,0.56%
06/02/2025,207.98,211.38,213.5,206.5,3.67M,-0.72%
05/30/2025,209.49,209.1,210.1,207.5,1.91M,0.15%
05/29/2025,209.17,210.47,211.15,208.8,2.26M,-0.11%
05/27/2025,209.41,209.25,210.9,208,4.44M,0.22%
05/26/2025,208.95,213,213.8,207.15,3.43M,-1.61%
05/23/2025,212.37,212.8,213.7,210.6,1.69M,0.22%
05/22/2025,211.9,213.74,216.5,210.45,5.09M,-0.86%
05/21/2025,213.74,210.3,214.5,209.5,4.45M,1.93%
05/20/2025,209.7,210.98,212,209.5,1.45M,-0.94%
05/19/2025,211.7,213,213.51,209.4,4.67M,0.09%
05/16/2025,211.5,214.89,214.89,211,2.62M,-1.04%
05/15/2025,213.73,213.05,215.9,211.35,6.85M,0.50%
05/14/2025,212.67,217.9,217.9,211.5,9.74M,-2.74%
05/13/2025,218.66,209,219.99,203.5,30.91M,7.71%
05/12/2025,203.01,203.01,203.01,202.9,3.45M,10.00%
05/09/2025,184.55,179.99,185.75,174.26,9.34M,2.88%
05/08/2025,179.39,197.77,200.48,176.97,10.63M,-8.77%
05/07/2025,196.63,190.11,201.99,190.11,8.43M,-3.10%
05/06/2025,202.93,200.9,207.9,200.02,5.94M,1.35%
05/05/2025,200.22,204,204,199.51,1.96M,-1.49%
05/02/2025,203.25,203,204.48,202.25,2.12M,1.43%
04/30/2025,200.38,207,207,197.1,5.33M,-3.58%
04/29/2025,207.81,206.12,209,204,2.66M,-0.09%
04/28/2025,208,212.37,213.55,207.5,1.71M,-2.06%
04/25/2025,212.37,212,213.7,207.21,4.09M,0.32%
04/24/2025,211.69,211.8,214,210,3.50M,-1.25%
04/23/2025,214.36,213.28,217.15,211.05,5.15M,0.51%
04/22/2025,213.28,212.49,214.99,211.5,2.07M,0.49%
04/21/2025,212.23,213.9,215,211.52,2.90M,-0.31%
04/18/2025,212.88,216.7,216.7,212.5,1.71M,-0.56%
04/17/2025,214.08,212.9,214.69,211.01,1.86M,1.12%
04/16/2025,211.7,216,217,210.1,3.20M,-1.22%
04/15/2025,214.32,212.9,216.8,211.56,5.79M,1.08%
